term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
Lewis a,GD000119,G00047MO,"Regardless of the vaccine administered, significantly fewer of the children with Lewis A phenotype (0/14) seroconverted after receiving the first vaccine dose compared to 26% (45/175) of those with the Lewis B phenotype and 32% (15/47) of the Lewis negative individuals (P < 0.01). [PMID:29367698]",29367698|27187324|30562693|27646625|26911286|30225822|28600306|32527016|2385097|11064310|23809433|30050155|1615929|29527514|9207264|1675497|3677023|27705835|7593252|2579997|17630273|9350993|9098001,A lewis blood group antigen with structure beta-D-Galp-(1->3)-[alpha-L-Fucp-(1->4)]-D-GlcpNAc consisting of N-acetylglucosamine having a fucosyl residue attached at the 4-position via an alpha-linkage and a galactosyl residue attached at the 3-position via a beta-linkage. It has a role as an epitope and an antigen. It is an amino trisaccharide and a glucosamine oligosaccharide.[CHEBI:62265],CID:22806751|CHEBI:62265|GlycoMotif:GGM.000020|SugarBind_Ligand:155,GTC:G00047MO|CID:22806751|CHEBI:62265|GlycoMotif:GGM.000020|SugarBind_Ligand:155,Le(a)|Lea-3|Lea|Le^a,,Gastroenteritis[SugarBind_Ligand:155],https://www.wikidata.org/wiki/Q50687009,
Lewis b,GD000120,G39211DH,Human mannose-binding lectin preferentially binds to human colon adenocarcinoma cell lines expressing high amount of Lewis A and Lewis B antigens.[PMID:10328552],10328552|23408949|31927399|26601230|28279343|32527016|30831115|27318698|9207264|23828675|29527514|1615929|2385097|2579997|25516619|3677023|8509439|19832116|15270746|3166398|30909206|7718581|18400963|29751628|8982241|30284922|24576035|30974776|9098001|31768613|1651804|25428879|15946883|30298790|30544260|29197783|8632739|7679772|18666312|20231766|29922666|95124|2247887|21519121|25153235|28751211,,GlycoMotif:GGM.000021|SugarBind_Ligand:146|CID:45480568|CHEBI:59440,GlycoMotif:GGM.000021|SugarBind_Ligand:146|GTC:G39211DH|CID:45480568|CHEBI:59440,Le(b)|Lewis(b)|Le^b,possible receptor for Helicobacter pylori[https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/blood-group-lewis-system],Gastroenteritis[SugarBind_Ligand:146],,
Lewis x,GD000121,G00051MO,"In particular, the observation of oxonium ions at m/z 512.2 and 803.2 is useful for probing outer non-reducing terminal fucosylation, which represented carbohydrate structures consisting of Hex Hex , dHex Hex , and HexNAc , and NeuNAc , Hex Hex , dHex Hex , and HexNAc , respectively, from which the Lewis X structure (Galbeta1-4(Fucalpha1-3)GlcNAc) was readily deduced.[PMID:15536627]",15536627|31666308|29019053|28296340|29593094|17607374|16581086|20858014|19962782|7912739|25121780|24059473|29210428|31276881|9015359|7628844|7499837|16850248|28425129|28869691|19576189|10223649|22593503|15632313|27198630|26582608|11500392|31256373|23399157|21984435|26244810|26162743|17335083|15388363|9556613|10760152|11267844|20876654|12131290,A Lewis blood group antigen with structure α-L-Fucp-(1→3)-[β-D-Galp-(1→4)]-D-GlcpNAc where the glucosamine at the reducing end has β-configuration at its anomeric centre. Commonly known as Lewis x trisaccharide or Lex.[CHEBI:59294],GlycoEpitope:EP0011|CID:44611539|CHEBI:59294|GlycoMotif:GGM.000018,GTC:G00051MO |GlycoEpitope:EP0011|CID:44611539|CHEBI:59294|GlycoMotif:GGM.000018,Lex|Galbeta1-4(Fucalpha1-3)GlcNAc|Lewis x trisaccharide|Le(X)|Le^x|SSEA-1,Involved in carbohydrate-carbohydrate interaction[Glycoepitope:EP0011].|Also implicated in apoptosis.[Glycoepitope:EP0011]|influence antigenic presentation and interfere with pathogen transfer in breastfed infants.[Glycoepitope:EP0011],acute leukemia[GlycoEpitope:EP0011]|lymphoma[GlycoEpitope:EP0011],,NBK453042
Lewis y,GD000122,G00052MO,"In conclusion, Lewis y antigen and CD147 were significantly upregulated in ovarian tumors, and the altered expression of Lewis y may cause changes in CD147.[PMID:30816446]",30816446|20003467|24692145|24998328|25726913|29299130|30816446|20003467|24692145|24998328|20127027|22138668|23894390|25726913|25416440|27646625|23725446|21294926|22312289|25973320|23242548|30328452|21119363|29130097|23443083|23708102|28671040|19715603|23468946|27723168|21747684|19771739,"A Lewis blood group antigen which is a branched amino tetrasaccharide with structure alpha-L-Fucp-(1->2)-beta-D-Galp-(1->4)-[alpha-L-Fucp-(1->3)]-beta-D-GlcpNAc, consisting of consisting of N-acetyl-beta-D-glucosamine at the reducing end having an alpha-L-fucosyl residue attached at the 3-position and an alpha-L-fucosyl-(1→2)-beta-D-galactosyl moiety attached at the 4-position. A cancer-associated tetrasaccharide antigen which constitutes the core structure recognised by therapeutic antibody BR96. Conformational restriction around the GlcNAc residue is a key feature of its structure. It has a role as an antigen and an epitope. [CHEBI:59045]]",GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000019,GTC:G00052MO|GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000019,LeY|Le(y)|Ley|Le^y,The expression of the fucosylated histo-blood group antigen CD174 in CD34+ hematopoietic progenitor cells and down-regulation of FUT1 in mature lymphocytes may be important factors influencing the homing process of hematopoietic stem cells to the bone marrow.[GlycoEpitope:EP0018],AIDS/acquired immune deficiency syndrome[GlycoEpitope:EP0018]|cholangiocarcinoma[GlycoEpitope:EP0018]|hepatocellular carcinoma[GlycoEpitope:EP0018],,NBK453042
Monosialylated,GD000123,,"The structures of the asparagine-linked sugar chains of U- CD59 were biantennary complex type , only 4.2% of which are monosialylated.[PMID:7514386]",7514386|8477709|8942648|29752599|31669586|29747818|16425369|12089170|31390883|1632647|29733234|31110965|31566965|30555678|28263871|29652662|25915761|16381065|29247593|28370937|23896595|26633899|32155999|25261856|2737211|26945091|27065039|26784838|26582205,A glycan that have the addition of one sialic acid residues.,,,,appears in bovine brain gangliosides.[PMID: 29752599],,,
Monosialyl-biantennary,GD000124,,"In contrast, the sugar chain structure of HCC highly specific AFP isoform was found to comprise a monosialyl-biantennary sugar chain with additional fucosylation of the proximal N-acetylglucosamine.[PMID:7686446]",7686446|1374031|9648261|10460833|19524219|10207016|15797573|15218190,A biantennary glycan with two GlcNAc branches linked to the core and the addition of one sialic acid residues.,,,monosialyl biantennary|sialylated diantennary|sialylated biantennary,,,,
Monosialyl-Gb5,GD000125,G32254QI,"Thus, malignancy of MCF-7 is highly dependent on monosialyl-Gb5, and its activation of cSrc and FAK in GEM.[PMID:12401210]",12401210|16995838|27318475,"alpha-Neup5Ac-(2->3)-beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->3)-alpha-D-Galp-(1->4)-beta-D-Galp-(1->4)-beta-D-Glcp is a linear amino hexasaccharide comprising β-D-glucose at the reducing end with at the 4-position a β-D-galactosyl-(1→3)-N-acetyl-β-D-glucosaminyl-(1→3)-α-D-galactosyl-(1→4)-β-D-galactosyl moiety, α(2→3)-sialylated at the terminal galactosyl residue.[CHEBI:62313]",GlycoEpitope:EP0099|GlycoMotif:GGM.000080|CID:73427363|CHEBI:62313,GTC:G32254QI|GlycoEpitope:EP0099|GlycoMotif:GGM.000080|CID:73427363|CHEBI:62313,GL-7 globoseries ganglioside (SSEA-4)|Monosialyl Gb5|Sialosyl galactosyl globoside|GL-7 globoseries ganglioside|SSEA-4,,renal cell carcinoma/RCC[GlycoEpitope:EP0099],,
Mono-sulfated globopentaosylceramide,GD000126,G80193TN,Mono-sulfated Globopentaosylceramide from HumanKidney.[PMID:2777788],2777788,,GlycoMotif:GGM.000072,GTC:G80193TN,Monosulfated globopentaosylceramide,,,,
Mono-sulfated globotetraosylceramide,GD000127,G05297EK,Mono-sulfated globotetraosylceramide from human kidney.[PMID:2559078],2559078,,GlycoMotif:GGM.000073,GTC:G05297EK,,,,,
N-acetyl GM2,GD000128,G79389NT,The appearance of the N-acetyl GM2 antigen correlated well with the degree of differentiation of the cancer cells in patients with squamous cell carcinoma and adenocarcinoma of the lung.[PMID:3167861],3167861|2153431|25673107,beta-D-GalpNAc-(1->4)-[alpha-Neup5Ac-(2->3)]-beta-D-Galp-(1->4)-beta-D-Glcp is a branched amino tetrasaccharide consisting of the linear sequence β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the galactose via an α-(2→3) linkage. Corresponds to the carbohydrate portion of ganglioside GM2.[CHEBI:59220],GlycoEpitope:EP0051|CID:45266845|CHEBI:59220,GTC:G79389NT|GlycoEpitope:EP0051|CID:45266845|CHEBI:59220,,The biological role played by a material entity when bound by a receptor of the adaptive immune system. Specific site on an antigen to which an antibody binds.[CHEBI:59220],lung adenocarcinoma[GlycoEpitope:EP0051]|embryonal carcinoma[GlycoEpitope:EP0051]|germ cell tumor[GlycoEpitope:EP0051]|teratocarcinoma[GlycoEpitope:EP0051]|squamous cell carcinoma[GlycoEpitope:EP0051],,
N-acetyllactosamine,GD000129,G00055MO,"Utilising a fast and sensitive screening method based on imidazolium-tagged probes, we report unprecedented reversible activity of bacterial beta1,4-galactosyltransferases to catalyse the transgalactosylation from lactose to N-acetylglucosamine to form N-acetyllactosamine in the presence of UDP.[PMID:31165848]",31165848|31126011|28796164|6236210|9751793|29740087|9151975|10567443|21472942|26477523|6548353|28167527|20056550|7737204|22052010|10223649|11323440|10420596|7766648|25257940|17977857|15556936|26541999|23650594|9692202|29429899|21062783|25034434|8985145|28503789|8720464/,"N-acetyllactosamine is a beta-D-galactopyranosyl-(1→4)-N-acetyl-D-glucosamine having beta-configuration at the reducing end anomeric centre. It is also known as galb1-4glcnacb or lacnac, belongs to the class of organic compounds known as acylaminosugars. These are organic compounds containing a sugar linked to a chain through N-acyl group. N-Acetyllactosamine is an extremely weak basic (essentially neutral) compound (based on its pKa). N-Acetyllactosamine exists in all living organisms, ranging from bacteria to humans.[CHEBI:16153,HMDB0001542]",CID:439271|CHEBI:16153|MeSH:C000458|GlycoMotif:GGM.000001,GTC:G00055MO|CID:439271|CHEBI:16153|MeSH:C000458|GlycoMotif:GGM.000001,LacNAc|Type 2 LN,,,,
N-Glycolyl-GM2,GD000130,G56478LD,"The monoclonal antibodies MK2-34 and MK1-16 (both IgM), which specifically detect N-glycolyl GM2 and N-acetyl GM2, respectively, were generated by immunizing mice with liposomes containing monophosphoryl lipid A, trehalose dimycolate, and the antigenic ganglioside.[PMID:3167861]",3167861|11861662|17980710|3731079|25673107,"(2S,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-5-[(2-hydroxyacetyl)amino]-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of carbohydrates and carbohydrate derivatives.[CHEBI:151464]",GlycoEpitope:EP0052|CID:91845742|CHEBI:151464|GlycoEpitope:GGM.000096,GTC:G56478LD |GlycoEpitope:EP0052|CID:91845742|CHEBI:151464|GlycoEpitope:GGM.000096,,,choriocarcinoma[GlycoEpitope:EP0052]|teratocarcinoma|[GlycoEpitope:EP0052]yolk sac tumor[GlycoEpitope:EP0052],,
N-linked glycans,GD000131,G78059CC,"Our study identifies extracellular N-linked glycans-and the glycoprotein neurexin 1β specifically-as key modulators of neuronal uptake of αSacetyl, drawing attention to the potential therapeutic value of αSacetyl-glycan interactions.[PMID:31211781]",31211781|28384382|30305477|31364612|26899268|29945790|29652253|29723274|30962676|29778448|25325701|31100702|28898525|22944671|19277537|24473128|17957771|27554083|15189166|11269317|19577919|24303005|12042249|22191536|28324664|25965797|25434632|30484244|28110657|29865036|20129637|27346875|30280442|26911286|22491358|26582281|26398792|31548313|31066275|28331984|25482090|28518173|30733536|22326428|30063825|30315103|21558494|31676555|31256374,The carbohydrate portion of a glycoprotein that has a glycan linked through the nitrogen of an asparagine side-chain.[CHEBI:59520],CID:70679232|CHEBI:70967,GTC:G78059CC|CID:70679232|CHEBI:70967,,"N-glycans modulate the function of several cell surface proteins which involved in migration, adhesion and which are responsible for regulating myelination.[PMID: 25151374]|Affect transportation of the glycosylated proteins in the Golgi.[PMID: 25151374]|Affects cell-cell interaction, adhesion, expression, proper folding.[PMID: 25151374]|extracellular N-glycans act as key modulators of neuronal uptake of αacetyl [PMID: 31211781].",Rheumatoid arthritis[PMID:17392038]|Type 1 Diabetes[PMID:29146600]|Lung Cancer[PMID: 23766031],,NBK453042
Nonfucosylated,GD000132,,"In the carbohydrate moiety , alpha-subunit from normal pregnancy hCG contained nonfucosylated , mono- and biantennary N-linked structures (49.3 and 36.7%, means); fucosylated biantennary and triantennary oligosaccharides were also identified (7.3 and 6.9%).[PMID:9449027]",9449027|30258536|23554380|16675584|26747427|22457527|24362443|19657637|8811881|19218011|20022111|17363544|17368483|20564614|27054024|28397880|31490688|31860772|17012310|29633346|9442021|30350565|30296068|31800250|30021910|31133022|29224385|28630087|26444434|31697975|30991260,glycans without a fucose component/monosaccharide residue.,,,,,,,
Nonfucosylated biantennary,GD000133,,Structural analysis combining methylation-mass spectrometry and 400 MHz 1H-n.m.r. spectrometry of oligosaccharide alditols released from human leucocyte lactotransferrin shows the presence of two disialylated and non-fucosylated biantennary glycans of the N-acetyl-lactosaminic type.[PMID:2390069],2390069|9449027|1375510|9101715|2390069|2332109,A biantennary glycan with two GlcNAc branches linked to the core and no fucose appears.,,,,,,,NBK453020
Nonfucosylated biantennary N-Linked structures,GD000134,,"The beta-subunit from normal pregnancy hCG contained fucosylated and nonfucosylated biantennary N-linked structures; however, mono- and triantennary oligosaccharides were also identified (4.6 and 13.7%).[PMID:9449027]",9449027,A biantennary N-linked glycan with two GlcNAc branches linked to the core and no fucose appears.,,,,,,,
Nonfucosylated triantennary,GD000135,,Carbohydrate structures of human alpha-fetoprotein of patients with hepatocellular carcinoma: presence of fucosylated and non-fucosylated triantennary glycans.[PMID:7679920],7679920|23274891,A triantennary N-linked glycan with three GlcNAc branches linked to the core and no fucose appears.,,,,Appears in human alpha-fetoprotein (AFP).[PMID:7679920],hepatocellular carcinoma[PMID:7679920].,,
Nonsialylated,GD000136,,"The pattern of nonsialylated oligosaccharides was used for interpretation of the fully sialylated species using bioinformatics tools. From pooled human plasma, we find 90, 101, and 64 different glycan compositions for genetic variants ORM1*F1, ORM1*S, and ORM2, respectively. Glycan structures carry dominantly between 15 and 16 sialic acids indicating an almost complete termination of all antenae with sialic acid.[PMID:30295034]",14533820|1377689|9705949|30788437|28090561|12498371|26839900|31490688|2656426|30295034|31545048|12381155|25730103|26787879|25646460|29224385|26063435|26954852|32889432|2825412|27504786|22431161,A glycan which is not sialylated.,,,,,,,
O-fucose glycans,GD000137,G39294YF,"Recently, a number of laboratories have shown that O-fucose glycans on the epidermal growth factor (EGF)-like repeats of the Notch extracellular domain modulate Notch signaling.[PMID:12417415]",19594638|30690220|18952191|22415200|12417415|16400812|18948267|21464368|20816394|30207383|20301232|27129198|17132502|22492969|30030822|30214079|26175457|25378397|18272537|28729422|11524432|31722217|23045360|24803430|28876865|25700513|32518939|30523691|18227520|20816217|24909690|17964136|12036964|27268051|15653671|19948734|31590629|32201074|15189151|17263732|32913123|12909620|28785176|17132500|22949680|25053492|28939751,Form of glycosylation where the protein is modified by a fucose residue and can be extended futher to form a tetrasaccharide in certain cases. alpha-linked o-fucose have a consensus motif of C2X4(s/T)C3 where C2 and C3 are conserved cysteines number 2 and 3 respectively of the EGFR like repeats. [NBK453017-Chapter13],GlycoEpitope:EP0005,GTC:G39294YF|GlycoEpitope:EP0005,,modification of Notch signaling.[GlycoEpitope:EP0005],,,
O-GlcNAc,GD000138,G49108TO,A better understanding of the mechanisms of OGT/OGA action would enable us to derive therapeutic benefits of resetting cellular O-GlcNAc levels within an optimal range.[PMID:30464755],30464755|29049853|29594839|31654859|29404877|30105004|30669087|29790000|28408483|26862193|30523150|30037904|28408480|29352075|29456783|29577901|29223644|28638491|30221662|29904918|32155042|30298013|31630803|31847126|29784830|30181664|28768194|30134155|25336654|30356792|30199580|32329777|28408494|29774032|29044951|23836420|20301273|29772801|28922739|30100348|30793403|30657688|31237748|29756380|29954943|30018219|32207184|25566193|30626734|24759912|,"Form of glycosylation which exclusively occurs in the mitochondrial, cytoplasmic or nuclear compartments of the cell where the protein is modified by a GlcNAc monosaccharide on the serine or threonine residues and is generally not modified or elongated further to form more complex structures. [NBK453063-Chapter19]",GlycoEpitope:EP0004|CID:24139|HMDB:HMDB0000803,GTC:G49108TO|GlycoEpitope:EP0004|CID:24139|HMDB:HMDB0000803,,,,,
O-linked glycans,GD000139,,"Among these, six fucosylated N-linked glycansand four O-linked glycans exhibited significantly increased expression levels in GC, while five fucosylated N-linked glycans and ten fucosylated O-linked glycans exhibited significantly decreased expression levels in GC.[PMID:29865036]",29865036|30952424|31611643|19577919|32019882|19139197|26184710|11159917|21536259|25186198|19277556|22261557|24115046|18725413|15966855|24256304|25477510|10359703|24406064|22259135|29279989|15966855|30619255|9673446|31676555|28745859|28196325|27975143|30591584|28518173|17522109|26328495|32178593|27529638|24663386|22474328|28096352|27496768|18952191|11135308|24917611|11532966|22786570|11891229|18332077|26867212|26925665|16769205|23475718|16005634|28785176,"The carbohydrate portion of a glycoprotein that has a glycan linked through the hydroxyl oxygen of serine, threonine, hydroxylysine or hydroxyproline side-chains.[CHEBI:59521]",CHEBI:59521,CHEBI:59521,,"Affects several important activities like protein stability, modulation of signaling molecules and enzyme activity.[PMID:9673446]",Cancers[https://doi.org/10.1016/bs.acr.2014.11.002],,
O-linked mannose,GD000140,G59126YU,"Protein O-linked mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGNT2) catalyzes the first step toward the functional matriglycan structure on alpha-dystroglycan that is responsible for binding extracellular matrix proteins and certain arenaviruses.[PMID: 27932460]",27932460|24526361|25381909|26644575|23851827|28810660|19054127|23929950|21684258|22608994|28973932|24733390|31851597|29884773|28711406|14577328|21089343|14617637|9838223|17072003|26328495|11181560|31949166|31988979|20362685|27733679|27493216|20044576|30643095|29732660|10580142|14568618|28079948|15467391|27812179|23761899|25737452|32930586|25381372|23434682|16857188|21452199|19429925|25361541|24297939|30322079|23428289|28427937|22746206|27533452|17502374|20816174|27496765,"O-linked glycans that are initiated by the addtion of a Man residue to Ser or Thr. Subsequent extension of the Man defines the O-Man core type, either M1, M2, or M3. The M1 type is initated by addition of a GlcNAc in β-linkage to the 2 position of the Man residue. M2 is initiated by addition of another GlcNAc to the 6 position of the M1 core. M3 is initiated by the addition of a GlcNAc in β-linkage to the 4 position of the Man residue. M1 and M2 type core glycans can be extended and branched with Gal, Fuc, Sialic Acid, and GlcA. The M3 core is uniquely extended by a multienzyme system to generate the matriglycan polysaccharide, a protein-specific modification found only on alpha-dystroglycan. [CHEBI:87761]",GlycoMotif:GGM.000055|CHEBI:87761|GlycoEpitope:EP0002|CID:91859038,GlycoMotif:000055|GTC:G59126YU|CHEBI:87761|GlycoEpitope:EP0002|CID:91859038,O-mannosyl glycan,,"MEB/muscle-eye-brain disease[GlycoEpitope:EP0002]|WWS/walker-warburg syndrome |muscular dystrophy[GlycoEpitope:EP0002]|neuronal migration disorder[GlycoEpitope:EP0002]|Muscle-Eye-Brain disease (MEB) and Walker-Warburg Syndrome (WWS) have mutations in genes encoding glycosyltransferases needed for O -mannosyl oligosaccharide synthesis[GlycoEpitope:EP0002]|Muscular dystrophy and neuronal migration disorder are caused by mutations in a glycosyltransferase, POMGnT1.[GlycoEpitope:EP0002]",,
P1 antigen,GD000141,G12460DL,"The P1 antigen was disovered in 1927 by Landsteiner and Levine, and Pk and NOR were described in 1951 and 1982, respectively.[PMID: 24046920]",29622537|26773500|24046920|6207232|8550516|6609976|6375319|817855|2428855|3312011|15364312|1937801|7729906,"An amino pentasaccharide consisting of α-D-galactose, β-D-galactose N-acetyl-α-D-glucosamine, β-D-galactose, and β-D-glucose residues joined in sequence with ((1→4)-, (1→4)-, (1→3)- and (1→4)-linkages, respectively.[CHEBI:68484]",GlycoMotif:GGM.000069|CID:71296137|CHEBI:68484|SugarBind_Ligand:160,GlycoMotif:GGM.000069|GTC:G12460DL|CID:71296137|CHEBI:68484|SugarBind_Ligand:160,,,Shigellosis[SugarBind_Ligand:160],,NBK453054
Para-Forssman glycolipid,GD000142,G51699SI,A novel pentaglycosyl ceramide containing di-beta-N-acetylgalactos-aminyl residue (Para-Forssman glycolipid) isolated from human erythrocyte membrane. [PMID:6814203],6814203,GalNAcβ1→3GalNAcβ1→3Galα1→4Galβ1→4Glcβ1→1Cer [https://doi.org/10.1016/S0040-4039(01)93814-6],GlycoMotif:GGM.000085|CID:56836111|KEGG:G00096|SugarBind_Ligand:19|CHEBI:151565,GlycoMotif:GGM.000085|GTC:G51699SI|CID:56836111|KEGG:G00096|SugarBind_Ligand:19|CHEBI:151565,,,Actinomycosis[SugarBind_Ligand:19],https://en.wikipedia.org/wiki/P1PK_blood_group_system,
Paragloboside,GD000143,G58896AZ,"Galactosyltransferase activities in sera of cancer patients were determined by assaying the formation of paragloboside from UDP-galactose and lactotriaosylceramide immobilized on microtiter plates by means of the enzyme-linked immunosorbent assay using a monoclonal antibody, H-11, directed to paragloboside. [PMID: 1551117]",3345524|850070|10569746|30624951|29438961|6816790|1551117|6865961|25039255,α-Neup5Ac-(2→3)-β-D-Galp-(1→3)-D-GalpNAc in which the configuration at the GalNAc anomeric carbon is α.[CHEBI:65257],GlycoMotif:GGM.000077|CID:21670519|CHEBI:65257|GlycoEpitope:EP0075|SugarBind_Ligand:15,GlycoMotif:GGM.000077|GTC:G58896AZ|CID:21670519|CHEBI:65257|GlycoEpitope:EP0075|SugarBind_Ligand:15,,,Pharyngitis[SugarBind_Ligand:15]|Tracheobronchitis[SugarBind_Ligand:15]|Gonorrhea[SugarBind_Ligand:15]|Actinomycosis[SugarBind_Ligand:15]|Diarrhea[SugarBind_Ligand:15]|Hemorrhagic colitis[SugarBind_Ligand:15]|Chronic gastritis[SugarBind_Ligand:15]|Peptic ulcers[SugarBind_Ligand:15]|Gastric cancer[SugarBind_Ligand:15]|Influenza[SugarBind_Ligand:15],,NBK453042
Paucimannose,GD000144,,"The galactosylation of core fucose (GalFuc epitope) in paucimannose and complex-type N-glycans is characteristic of protostome organisms, including flatworms (planarians).[PMID:29475940]",29475940|29803109|12603202|31817246|31719144|21057214|31932305|17132514|30382146|27731363|31325506|25746926|26513758|16522637|21169367|25190359|27928741|22496646|27384337|16897177|15228383|27379103|27189951|23475714|24907509|20558211|28060516|20441997|27720757|28817611|24550396|19494052|19515361|28630087|31320997|30651366|30253927|25922361|31655162|18056652|24467287|32367383,"Any N-linked glycan derivative with composition Man1-4Fuc0-1 GlcNAc2, in which the chitobiose core (GlcNAc2) is intact. Found in relatively large amounts in invertebrates and plants, they are formed by removal of the non-reducing terminal GlcNAc (\added by GlcNAcT1) from GlcNAcMan3-5GlcNAc2 by a Golgi hexosaminidase and subsequent removal of Man residues by Golgi mannosidases. Pauscimannose glycans have also been detected in vertebrates.[CHEBI:144386]",CHEBI:144386,CHEBI:144386,,,,,
Sd(A)/Cad,GD000145,G41052GC,The expanding roles of the Sd(a)/Cad carbohydrate antigen and its cognate glycosyltransferase B4GALNT2.[PMID:24112972],24112972|11577689|30067891|15361072,"A branched amino tetrasaccharide comprised of a trisaccharide chain of N-acetyl-α-neuraminic acid, β-D-galactose and N-acetyl-β-D-glucosamine residues linked sequentially (2→3) and (1→4), to the galactose residue of which is also linked (1→4) an N-acetyl-β-L-galactosamine residue.
[CHEBI:71561]",GlycoMotif:GGM.000051|CID:70698375|CHEBI:71561,GlycoMotif:GGM.000051|GTC:G41052GC|CID:70698375|CHEBI:71561,Sd^a /Cad,,,,NBK453020-Chapter 9
SDlex,GD000146,G19619KS,"Hepatic expression of sialylated difucosyl Lex antigen (SDLex, NeuAc alpha 2-3Gal beta 1-4(Fuc alpha 1-3)GlcNAc beta 1-3Gal beta 1-4(Fuc alpha 1-3)GlcNAc beta 1-) was studied with monoclonal antibody FH6, which defines this structure.[PMID: 3341453]",30226570|3341453|12725333,"(2S,4S,5R,6R)-5-Acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-6-hydroxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CHEBI:148203]",GlycoMotif:GGM.000032|CID:91856705|CHEBI:148203,GlycoMotif:GGM.000032|GTC:G19619KS|CID:91856705|CHEBI:148203,Sdlex|SDLe^x|SDLex,,,,NBK453042
Seminolipid,GD000147,G72548RZ,"A concise total synthesis of seminolipid, a sulfoglycolipid, has been achieved; key features include regioselective, tin-free sulfation of allyl β-d-galactopyranoside using 2,6-bis(trifluoromethyl)phenylboronic acid as protective reagent, stereoselective epoxidation, and site-selective acylation. [PMID: 31353379]",31353379|31736776|12810822|19582571|19542524|20670037|15659616|20817833|870059|10801776|21965315|8095813|1280685|4690236|34199863|4207869|2373957|845131,,GlycoMotif:GGM.000062,GlycoMotif:GGM.000062|GTC:G72548RZ,,,,,NBK453042
Sialopentaosylceramide,GD000148,G13224CR,Sialylpentaosylceramide detected with anti-GM2 monoclonal antibody. Structural characterization and complementary expression with GM2 in gastric cancer and normal gastric mucosap[PMID: 2139874],2139874,A ganglioside in which the oligosaccharide portion is composed of a pentasaccharide containing one or more sialic acid residues.[CHEBI:36542],GlycoMotif:GGM.000097|CID:91859576|CHEBI:148045|KEGG:G00883|CHEBI:36542,GlycoMotif:GGM.000097|GTC:G13224CR|CID:91859576|CHEBI:148045|KEGG:G00883|CHEBI:36542,,,,,
Sialosyl paragloboside,GD000149,G50123ZO,"Unlike CNS myelin, human peripheral nerve myelin has the acidic glycosphingolipids sialosyl paragloboside (SPG), sialosyl lactosaminyl paragloboside (SLPG), and sulfated glucuronyl paragloboside (SGPG).[PMID:8862128]",8862128|7236652|2370108|3133978|2905604|1749114|1573418,α-Neup5Ac-(2→3)-β-D-Galp-(1→4)-D-GlcpNAc with β configuration at the anomeric position of the reducing-end N-acetyl-D-glucosamine residue.[CHEBI:71612],GlycoMotif:GGM.000081|CID:91845504|KEGG:G01429|CHEBI:151914,GlycoMotif:GGM.000081|GTC:G50123ZO|CID:91845504|KEGG:G01429|CHEBI:151914,,,,,
